epoch,step,train_loss,val_loss
0,9,,486011502592.0
0,9,433744445440.0,
1,19,,486010978304.0
1,19,433744084992.0,
2,29,,486010224640.0
2,29,433743462400.0,
3,39,,486009176064.0
3,39,433742643200.0,
4,49,,486007767040.0
4,49,433741594624.0,
5,59,,486005866496.0
5,59,433740087296.0,
6,69,,486003408896.0
6,69,433738121216.0,
7,79,,486000132096.0
7,79,433735598080.0,
8,89,,485996068864.0
8,89,433732321280.0,
9,99,,485990957056.0
9,99,433728225280.0,
10,109,,485984665600.0
10,109,433723244544.0,
11,119,,485977063424.0
11,119,433717116928.0,
12,129,,485967953920.0
12,129,433709711360.0,
13,139,,485957271552.0
13,139,433701027840.0,
14,149,,485944852480.0
14,149,433690738688.0,
15,159,,485930369024.0
15,159,433678909440.0,
16,169,,485913690112.0
16,169,433665146880.0,
17,179,,485894651904.0
17,179,433649614848.0,
18,189,,485873123328.0
18,189,433631657984.0,
19,199,,485848809472.0
19,199,433611767808.0,
